ToyRCCar
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6136,0.5720000000000001,0.6552,0.5457894736842105,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6136,0.5457894736842105,0.5,1.0,0.6666666666666666
harmonic mean,,0.6107796610169491,0.5457894736842105,0.5,1.0,0.6666666666666666
source harmonic mean,,0.5720000000000001,0.5457894736842105,0.5,1.0,0.6666666666666666
target harmonic mean,,0.6552,0.5457894736842105,0.5,1.0,0.6666666666666666

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6136,0.5457894736842105,0.5,1.0,0.6666666666666666
"harmonic mean over all machine types, sections, and domains",,0.6107796610169491,0.5457894736842105,0.5,1.0,0.6666666666666666
"source harmonic mean over all machine types, sections, and domains",,0.5720000000000001,0.5457894736842105,0.5,1.0,0.6666666666666666
"target harmonic mean over all machine types, sections, and domains",,0.6552,0.5457894736842105,0.5,1.0,0.6666666666666666

official score,,0.58746219759121
official score ci95,,0.0003509163370449224

